ARRIVAL TIME,BURST TIME,PRIORITY
107,79,2
108,51,3
108,59,3
109,33,2
110,96,1
111,69,1
111,97,3
111,36,1
111,0,2
111,97,3
112,71,3
113,76,3
113,17,3
113,11,1
114,52,3
115,20,2
115,30,1
116,58,1
117,50,2
118,5,2
119,70,3
119,2,3
120,60,1
120,95,2
120,64,2
121,64,2
122,65,2
122,26,1
122,55,1
122,42,1
122,40,2
122,40,2
123,2,1
124,27,2
124,19,1
124,90,2
124,98,2
125,33,2
125,62,2
126,29,3
127,98,3
128,99,3
128,11,3
129,72,3
129,21,1
129,1,2
130,67,2
131,66,1
132,67,1
132,29,2
133,50,2
134,59,2
134,24,3
135,50,1
135,30,2
135,2,3
136,40,3
137,66,1
138,1,1
139,55,2
140,2,3
140,27,3
141,80,1
141,69,3
142,51,1
143,35,2
143,4,2
143,68,2
143,30,1
144,77,2
144,92,3
144,24,1
144,16,3
145,80,2
145,65,2
145,99,1
145,96,3
145,96,1
146,61,1
147,64,2
147,47,1
148,97,1
149,41,2
149,25,1
150,78,1
151,23,1
151,30,2
152,79,3
153,32,1
154,98,2
155,3,3
155,2,1
156,70,2
157,87,3
158,23,3
159,75,2
159,65,3
159,19,3
159,30,2
160,5,3
160,67,1
161,63,2
162,36,1
163,15,2
164,25,3
165,34,2
166,6,2
166,97,2
166,94,1
166,72,1
166,34,1
167,97,3
167,16,1
168,5,2
169,55,1
170,94,3
171,87,1
171,18,3
172,90,1
173,41,3
173,29,2
174,93,1
174,62,1
174,80,1
174,63,2
175,51,3
176,4,1
176,6,2
176,0,1
176,86,1
177,8,2
178,68,1
178,9,1
179,67,2
179,82,2
180,42,3
180,9,3
180,46,3
180,90,1
181,48,3
181,46,3
182,47,2
183,81,1
184,45,2
185,5,3
186,58,1
186,29,3
187,85,2
188,38,3
188,29,1
188,1,2
188,9,3
189,10,1
189,16,3
190,69,1
190,59,1
190,18,1
191,85,1
191,21,1
191,91,3
192,95,1
193,67,2
194,51,3
195,1,2
195,91,1
196,18,3
197,0,1
198,26,3
199,81,2
200,46,1
201,93,3
202,52,2
202,44,3
202,6,2
203,3,3
204,50,1
204,89,2
205,46,3
205,98,1
206,31,2
206,23,3
206,79,2
206,15,1
206,34,2
207,74,3
208,13,2
208,44,1
209,51,1
210,45,3
210,7,3
210,54,1
210,72,1
210,63,3
210,74,1
211,73,3
211,75,2
212,34,3
212,33,1
212,8,3
213,100,1
213,87,1
214,81,2
214,36,1
215,23,2
215,43,2
216,1,2
217,43,2
218,48,2
219,49,2
219,81,1
220,13,3
220,59,3
221,83,1
222,20,1
223,5,1
223,64,2
223,20,1
223,85,3
223,77,1
223,61,1
224,80,1
225,73,3
226,73,2
227,11,1
228,96,1
228,45,1
228,97,2
229,16,1
230,52,3
230,2,1
231,24,1
232,26,3
233,11,3
234,39,1
235,58,2
235,48,3
236,59,1
237,24,1
238,26,2
238,78,2
238,3,1
238,38,2
238,56,2
239,86,2
239,75,3
240,3,2
240,19,3
241,13,3
242,0,3
243,87,1
244,6,2
244,11,3
244,86,2
245,95,3
246,71,2
246,1,1
246,54,2
246,30,3
247,61,1
248,3,2
249,43,3
249,26,1
250,50,3
251,4,3
251,24,1
251,60,2
251,26,2
252,83,2
253,61,1
253,11,3
254,73,1
255,53,3
256,94,1
256,10,3
256,91,3
257,40,3
258,72,1
259,75,3
260,20,2
260,69,1
260,63,1
260,73,3
260,57,2
261,76,1
261,58,1
261,87,1
262,90,1
263,30,2
264,49,1
265,18,1
265,53,3
265,51,1
265,86,1
266,24,1
266,8,3
267,90,2
267,72,1
268,51,2
268,73,2
269,80,2
269,39,3
269,50,2
269,87,2
270,73,2
271,9,1
272,79,2
272,61,2
273,97,3
273,1,3
273,80,1
274,90,2
275,93,1
275,37,3
275,86,1
276,8,2
277,95,3
278,24,2
278,82,3
279,69,2
279,46,3
280,19,1
280,60,3
281,7,1
281,70,1
282,15,3
282,80,1
282,27,1
283,90,1
284,59,3
284,4,3
285,23,3
286,39,3
287,34,2
288,51,2
289,19,1
290,4,2
290,5,3
291,55,1
291,41,3
291,42,1
292,51,1
292,99,3
292,36,2
292,12,3
292,85,2
293,54,1
293,42,1
294,54,3
295,49,2
296,78,2
296,20,3
297,10,3
297,81,1
298,93,2
298,36,3
299,61,2
300,27,2
300,61,1
300,87,3
300,23,1
301,61,3
301,59,3
302,69,3
302,90,3
302,60,1
303,44,2
303,0,3
304,23,1
304,56,1
304,21,3
305,8,2
306,20,1
306,69,1
307,67,2
308,30,2
308,37,1
308,88,1
308,35,3
308,49,3
309,48,2
310,67,2
310,88,2
311,41,2
312,72,3
313,43,1
313,25,2
313,43,2
314,63,3
314,8,1
315,99,2
316,37,3
317,75,2
317,24,2
318,94,1
319,74,2
320,86,2
321,56,3
321,87,1
321,45,2
322,84,1
323,91,1
323,3,2
324,42,2
324,85,1
324,44,1
324,32,3
325,59,3
325,67,1
325,55,3
326,5,2
327,75,3
328,25,2
329,0,2
330,61,2
330,100,2
330,61,1
331,39,1
332,11,2
332,82,2
332,15,1
332,0,2
332,71,2
333,69,1
333,7,1
334,43,2
334,83,2
335,95,1
336,89,3
337,48,3
337,17,2
337,47,2
337,93,1
338,37,3
339,50,3
340,12,3
341,13,3
342,3,3
342,94,2
342,99,1
343,44,3
343,58,2
343,14,3
344,88,2
344,28,2
344,6,3
345,33,2
345,43,2
346,21,3
346,99,3
346,70,2
347,26,2
348,68,3
348,74,2
348,4,2
349,83,2
350,39,2
351,49,2
351,35,1
351,53,2
352,62,1
353,66,1
354,48,3
354,98,1
355,78,1
356,18,2
356,88,3
356,82,1
357,77,3
357,2,2
358,24,2
358,39,3
358,38,3
359,10,2
359,3,1
360,3,1
361,16,3
362,32,3
363,37,3
363,5,1
364,9,2
364,18,3
364,55,1
365,12,1
365,28,1
366,63,1
367,9,1
368,15,1
368,88,1
368,31,1
368,43,3
368,92,3
368,59,2
368,47,3
368,99,3
369,76,1
369,56,1
369,21,3
370,11,1
370,62,1
370,82,2
370,72,1
370,57,2
370,66,1
370,7,1
371,23,3
372,92,3
373,81,1
373,85,2
373,47,2
373,71,3
374,78,2
374,83,1
375,17,2
375,67,2
376,0,2
377,50,2
377,84,1
378,25,3
379,71,2
380,15,3
381,26,1
382,41,3
383,83,1
384,85,2
385,62,3
385,21,3
386,99,2
386,36,3
387,94,3
387,89,1
387,1,3
387,88,3
388,88,1
389,19,1
389,60,2
390,12,1
390,6,2
391,18,3
391,88,3
392,57,3
392,87,2
392,67,1
393,6,2
394,16,1
394,94,3
394,18,1
395,40,2
395,70,3
396,10,1
396,12,2
396,42,3
397,91,1
398,16,3
398,67,1
398,28,3
398,47,2
399,29,2
400,58,2
400,20,1
401,30,2
402,87,1
402,56,2
403,39,3
404,6,3
405,29,2
406,97,3
407,34,3
408,9,2
408,12,3
408,71,2
408,74,2
408,59,1
409,32,1
410,92,1
411,62,1
411,60,2
411,41,1
412,35,1
413,84,2
414,46,2
415,56,1
416,93,1
416,87,1
416,89,2
416,35,2
416,28,1
417,17,3
417,0,3
418,39,1
418,4,3
418,31,2
419,18,3
420,17,3
420,16,2
421,49,3
421,99,3
422,8,3
422,67,2
422,40,3
422,5,2
422,48,1
422,26,1
423,20,1
423,58,1
423,26,2
423,2,1
423,70,2
423,23,3
424,59,3
425,18,2
425,15,3
426,4,3
426,2,1
427,82,2
427,54,2
427,80,1
427,37,1
427,94,2
427,35,3
428,14,1
428,85,2
428,23,1
429,37,2
429,71,1
430,80,3
431,91,2
431,21,3
431,3,1
432,94,1
432,3,2
432,97,3
433,4,1
433,92,1
433,93,3
433,20,3
434,45,3
435,68,2
436,64,1
436,26,2
437,84,1
438,1,1
439,35,2
439,14,2
439,67,2
439,58,3
440,50,1
441,64,2
442,70,3
442,23,1
442,22,3
443,64,1
443,9,1
444,45,2
445,62,1
446,18,1
446,96,2
447,87,2
448,55,1
449,33,3
449,21,2
450,24,2
450,77,2
450,82,2
450,92,2
450,7,2
451,9,1
451,77,2
452,60,3
453,58,2
453,1,1
454,84,1
454,98,3
454,88,1
455,6,3
455,78,3
455,46,1
456,6,1
456,7,2
457,6,2
457,79,1
457,68,3
458,57,2
459,41,2
460,12,1
460,56,1
460,58,1
461,89,3
461,74,3
461,86,2
461,25,2
462,2,3
462,23,3
463,53,3
464,31,1
465,22,1
466,15,3
467,30,2
468,74,2
469,80,2
470,83,2
471,92,1
472,48,3
472,96,3
473,98,3
474,7,2
474,18,1
475,92,1
476,60,2
477,36,3
478,70,3
479,80,2
480,80,1
481,85,2
482,53,2
483,68,1
484,31,2
485,80,1
486,7,2
487,73,2
488,10,2
488,26,1
488,75,3
488,84,2
488,71,2
488,77,1
488,85,1
489,89,1
489,2,2
489,56,3
489,80,1
489,56,3
489,29,1
489,65,3
490,14,2
490,23,1
490,57,2
491,86,2
491,96,2
491,91,3
491,94,2
491,54,2
492,25,3
492,89,3
492,60,3
493,100,2
493,86,1
493,12,3
494,40,2
495,53,3
496,32,3
497,67,3
498,55,3
499,22,1
500,23,2
501,8,3
501,80,3
502,25,3
503,64,1
503,33,3
503,56,1
504,40,2
504,6,2
505,13,1
506,44,2
507,0,3
508,53,3
508,22,2
508,39,2
508,74,3
508,15,1
509,69,1
509,48,1
510,72,2
510,66,2
510,1,2
510,23,2
511,96,2
511,33,1
511,71,1
511,43,1
512,41,1
512,61,3
512,21,2
513,23,3
513,26,3
513,76,3
514,35,1
515,99,3
515,6,1
515,65,2
515,54,3
515,74,2
516,65,1
516,57,1
517,21,3
517,66,2
518,91,2
