ARRIVAL TIME,BURST TIME,PRIORITY
370,78,3
371,27,1
372,89,3
372,32,1
372,94,2
373,2,2
374,62,1
375,7,2
375,1,1
375,90,3
375,6,2
376,20,2
376,83,3
377,27,2
377,80,2
377,61,3
377,27,3
378,35,2
378,79,2
379,55,1
380,39,1
381,41,1
382,99,1
383,93,3
383,8,2
383,60,1
383,91,1
384,2,3
384,12,3
384,71,3
385,79,1
385,9,2
385,25,2
386,28,3
386,59,1
386,8,2
386,51,3
386,71,1
386,63,3
386,82,1
386,55,1
387,97,3
387,3,3
388,45,2
388,24,2
388,32,3
389,17,3
390,61,1
391,28,3
392,99,1
392,43,2
393,21,2
394,48,2
395,27,3
395,73,3
395,11,2
396,61,3
396,59,1
397,89,2
398,31,1
398,83,2
398,35,3
399,11,3
399,93,1
399,34,1
399,32,3
400,85,1
401,51,2
402,65,2
402,4,3
402,71,1
403,85,2
403,55,1
404,38,2
404,63,3
405,82,1
405,50,2
406,8,2
406,69,3
407,95,1
408,57,3
408,63,2
408,26,3
409,39,3
410,27,1
410,62,1
410,11,1
411,79,3
411,52,1
411,25,2
412,1,2
412,44,3
412,55,3
412,70,1
412,85,1
412,58,2
413,68,2
414,69,1
414,56,1
414,31,2
414,8,2
414,89,3
414,47,2
414,71,1
415,20,2
416,93,3
417,36,3
417,64,1
418,4,3
419,53,3
420,46,2
420,2,2
421,95,2
422,78,2
423,53,1
424,94,2
424,3,3
424,32,1
424,56,3
425,21,2
425,81,1
426,73,1
427,13,2
428,5,1
428,22,2
428,70,1
429,11,1
429,70,1
430,18,2
431,22,3
431,10,2
431,8,2
432,8,1
432,78,3
432,91,3
432,13,2
432,84,3
433,36,2
434,72,1
435,21,3
436,19,2
437,41,3
438,18,3
439,8,3
439,66,1
439,86,3
439,75,1
440,67,2
440,14,2
440,17,3
440,85,1
441,80,2
441,30,2
441,41,2
442,32,2
442,23,3
442,37,2
442,88,1
443,98,1
444,59,3
444,62,3
444,13,1
445,28,1
445,38,1
445,96,2
445,64,2
445,52,3
445,6,2
445,27,1
445,33,1
445,81,1
446,88,2
446,20,2
446,80,1
446,58,2
447,2,2
447,23,1
448,72,1
448,55,3
448,66,1
448,74,2
448,24,1
449,18,3
449,1,1
450,35,3
451,16,1
452,84,3
452,59,1
453,28,1
453,63,1
453,5,1
454,94,3
455,50,2
456,79,2
457,34,1
458,36,1
459,42,2
460,27,3
460,21,2
460,62,1
461,29,2
462,48,3
462,62,2
462,56,3
463,1,1
464,99,2
464,35,1
464,64,3
465,3,2
466,0,1
466,13,2
466,27,3
467,8,3
468,5,3
469,99,3
469,75,1
469,36,2
469,7,2
470,12,2
470,36,1
470,21,1
470,89,2
471,59,1
471,55,3
472,94,2
473,4,1
474,11,2
475,42,1
475,31,1
475,74,3
476,31,3
477,87,1
477,19,2
478,22,2
478,62,1
478,70,3
479,51,2
480,64,1
481,61,2
481,85,2
482,98,2
482,34,2
482,76,2
482,20,3
482,59,1
482,18,2
482,26,2
482,85,2
482,38,3
483,21,3
484,57,1
485,55,2
486,88,3
487,14,3
487,9,1
487,89,3
487,87,2
487,49,3
487,69,1
487,24,2
487,49,2
487,84,1
488,65,2
488,25,3
488,7,2
489,24,3
490,79,3
490,17,2
490,10,1
491,29,2
491,81,2
491,25,1
492,28,1
492,0,2
492,48,3
492,10,3
493,62,1
493,35,2
493,26,1
493,2,3
494,58,3
495,14,1
495,51,3
495,60,2
496,87,2
496,11,3
496,94,1
497,97,2
497,95,1
498,56,1
499,40,2
499,29,3
500,9,2
500,82,2
501,30,2
501,97,2
501,5,1
502,27,1
502,4,3
502,71,1
503,96,3
504,77,1
504,22,3
504,58,1
505,89,2
505,92,2
505,18,1
506,22,3
506,16,2
506,31,3
507,11,2
507,24,3
507,22,3
507,98,2
508,52,2
508,44,1
508,34,3
508,37,3
508,27,1
509,99,3
509,44,1
509,3,1
509,0,1
510,54,1
510,64,2
510,87,3
511,24,1
511,79,1
512,44,2
513,9,3
514,79,2
515,18,1
515,49,1
515,28,3
516,56,3
517,62,1
518,53,2
518,85,3
518,100,2
518,58,3
518,73,2
518,73,3
518,59,3
519,28,2
519,49,3
519,16,2
520,0,2
521,51,2
521,52,1
522,20,1
522,92,2
522,45,3
522,90,1
522,85,1
522,25,1
522,56,1
522,4,1
523,81,1
524,36,3
524,97,2
524,91,1
525,27,3
525,53,3
525,98,2
525,61,1
526,58,1
526,8,2
526,62,2
527,91,3
527,31,2
528,20,1
528,2,2
529,93,1
529,74,2
529,75,2
530,2,3
530,96,1
531,63,2
532,45,2
533,51,1
533,5,2
534,17,1
534,100,1
534,0,2
534,81,1
535,48,1
535,12,1
535,28,2
536,12,2
536,41,3
536,13,2
536,90,2
537,29,2
538,29,3
539,37,3
539,71,3
539,90,1
540,13,3
540,12,1
541,99,3
542,56,3
543,81,1
544,37,2
544,31,2
544,7,2
544,60,2
544,27,2
544,24,3
544,47,2
544,52,2
545,40,3
546,11,3
546,41,1
546,24,2
547,48,2
548,5,1
549,2,1
549,48,3
549,64,3
549,86,1
549,15,1
549,66,1
549,12,3
549,10,2
549,8,3
550,84,3
551,69,3
551,0,1
552,67,3
552,66,1
553,60,1
553,33,2
553,15,2
553,18,3
553,21,3
554,9,1
554,96,1
555,1,2
556,77,1
556,55,2
557,9,1
557,21,3
558,78,1
558,90,2
558,100,2
559,87,3
559,11,3
560,70,2
561,26,3
561,62,3
561,11,1
562,35,2
563,73,3
564,2,3
565,81,2
565,67,1
566,12,1
567,83,1
568,99,2
568,100,1
569,63,3
570,35,1
571,11,2
572,74,1
572,81,2
572,74,1
572,41,3
572,27,3
573,79,1
573,19,1
573,35,2
574,55,1
574,44,3
575,59,2
575,66,3
575,87,1
576,55,2
576,44,2
577,4,1
578,66,3
579,18,3
580,52,2
580,71,3
581,29,2
582,95,1
582,57,2
582,88,2
582,98,2
583,2,2
583,39,3
584,62,3
585,58,1
585,24,3
586,10,1
587,81,3
587,22,3
588,97,2
589,98,1
589,84,3
589,52,2
589,74,3
590,97,3
590,81,2
591,45,1
591,76,1
592,41,3
593,1,2
593,24,1
593,1,3
593,4,2
594,58,2
595,13,2
595,9,1
595,55,2
596,99,3
597,9,2
597,98,2
598,42,1
598,30,1
598,39,1
599,36,1
599,59,3
599,67,3
600,61,2
600,29,3
600,45,1
600,95,1
601,72,3
601,29,1
601,6,1
602,80,1
602,10,3
602,89,2
603,21,3
604,40,3
605,35,3
605,73,1
605,56,1
606,5,1
607,86,3
607,97,3
608,19,3
609,22,1
609,90,2
609,26,2
609,76,1
609,52,1
610,81,3
611,82,2
611,35,2
612,23,1
613,49,2
613,80,2
613,22,2
614,85,3
614,36,3
615,44,1
615,67,1
616,63,3
617,94,1
617,82,2
617,99,1
617,82,3
617,16,2
618,6,2
619,78,2
619,39,3
620,80,3
621,100,3
621,6,1
621,53,2
622,30,2
622,59,3
623,80,3
624,22,3
625,2,1
626,53,1
626,82,1
626,80,1
627,26,3
627,97,2
627,62,1
627,82,3
628,75,1
629,5,2
630,81,2
631,10,3
631,12,2
632,96,1
633,29,2
634,37,3
635,86,2
636,73,1
637,65,3
638,13,3
638,94,3
638,37,1
639,89,1
640,25,1
640,57,3
641,82,2
641,55,3
641,55,2
642,22,2
643,96,1
643,80,1
643,85,3
644,92,2
645,25,2
646,10,3
647,68,2
647,16,3
647,61,2
648,52,1
649,20,3
649,1,1
650,50,2
650,68,3
650,69,2
651,50,1
652,42,3
652,4,2
653,80,3
653,4,3
653,38,2
653,2,3
654,17,1
654,57,2
655,44,2
656,39,3
657,60,2
658,86,2
659,32,3
659,64,2
660,41,3
661,6,1
662,69,1
662,98,3
663,94,1
664,31,3
665,49,3
665,28,2
665,95,3
666,64,3
667,65,3
667,99,1
667,12,2
668,89,1
668,95,2
669,67,2
669,96,2
670,23,1
670,90,3
670,99,3
671,85,2
672,56,2
673,73,1
674,98,1
675,69,1
676,75,2
676,3,1
676,92,1
676,32,1
677,15,3
678,45,1
679,63,3
679,16,2
680,68,3
681,13,3
682,61,2
682,54,1
683,52,3
683,60,1
683,84,1
683,95,3
684,85,1
685,58,2
686,87,2
686,81,3
686,66,1
686,6,1
687,90,1
688,7,3
689,61,3
689,95,1
689,89,3
690,28,3
691,0,1
691,78,2
692,59,1
692,7,2
692,40,1
692,30,2
693,95,2
694,70,1
694,10,2
695,16,2
696,23,1
696,72,1
697,16,3
697,59,2
697,9,3
697,78,2
697,9,1
698,40,2
699,13,2
699,97,2
700,38,2
701,4,1
701,87,3
701,0,3
702,33,1
702,21,1
703,87,1
703,98,2
703,65,3
704,74,3
705,54,1
705,25,2
706,99,2
707,36,1
707,69,1
707,34,2
707,26,3
707,57,1
708,42,3
708,99,2
709,21,1
710,33,1
711,57,3
711,33,3
712,62,3
713,91,3
714,36,2
715,66,2
716,20,2
716,81,3
717,57,1
717,62,3
717,68,1
717,69,1
718,77,1
718,89,1
719,69,2
719,51,3
720,78,2
721,42,3
721,92,3
722,50,2
722,100,1
723,33,1
723,70,1
724,86,3
725,77,3
725,36,2
725,38,2
726,55,2
726,34,3
727,42,3
727,21,3
728,89,3
728,25,3
728,11,3
728,16,2
729,72,2
729,43,2
729,75,2
730,41,1
730,6,3
730,84,3
731,98,3
731,51,1
731,100,2
731,59,2
731,34,1
731,18,1
731,94,3
731,54,1
732,38,1
733,86,3
734,13,1
735,16,1
736,23,2
736,93,3
737,67,2
737,26,2
738,37,2
739,72,3
740,31,1
741,15,3
741,39,1
741,91,3
741,84,1
742,69,1
743,85,2
744,89,3
745,72,1
745,17,2
746,33,1
746,81,3
746,18,2
747,38,3
747,0,3
747,53,2
747,14,2
748,74,3
749,26,3
749,10,1
749,29,1
749,0,2
749,91,1
749,79,3
750,96,1
751,18,1
751,49,2
751,67,3
751,6,3
752,18,3
753,79,3
754,29,2
755,84,3
756,36,3
756,68,1
757,42,3
757,1,1
758,42,3
759,14,2
760,8,3
760,61,1
761,78,3
762,51,1
763,56,2
764,64,1
764,39,1
764,51,1
764,60,2
764,56,1
765,93,2
765,40,1
766,100,1
767,74,2
767,21,2
768,78,3
768,9,1
768,83,2
768,43,2
768,69,1
769,44,3
769,7,1
769,75,1
769,77,2
769,32,1
770,100,1
771,76,3
771,93,3
772,6,1
773,60,3
774,44,2
774,6,3
775,87,2
775,95,1
775,46,2
775,18,1
776,72,1
777,93,1
777,29,2
778,57,1
778,72,3
779,27,2
780,53,2
780,30,1
781,16,3
781,3,1
781,88,1
782,15,3
783,54,3
784,34,3
785,38,2
786,78,1
786,69,2
787,15,2
787,71,3
788,48,3
789,30,1
789,13,2
789,68,3
790,96,1
791,57,1
791,10,2
792,38,1
792,15,2
793,71,1
793,19,2
793,100,2
794,55,3
795,75,2
796,65,2
797,49,2
797,33,2
797,75,2
798,77,2
799,20,3
800,77,2
800,83,2
800,86,2
800,92,2
800,73,2
801,27,2
801,85,1
802,35,1
802,73,1
803,82,2
803,84,1
803,4,1
803,70,1
804,27,1
805,97,1
806,1,2
807,35,3
807,66,3
807,15,2
808,97,3
809,81,1
810,61,2
811,37,1
812,98,3
813,58,1
814,0,3
814,38,1
815,62,3
815,4,2
816,16,1
817,29,2
818,9,2
819,89,1
819,80,1
820,23,3
820,23,3
820,85,2
820,80,2
821,70,3
821,32,1
822,19,3
822,64,3
823,81,1
823,75,2
823,61,3
823,17,2
824,5,2
824,63,3
825,72,2
826,9,1
826,76,3
827,67,3
828,56,2
829,90,2
830,6,3
831,24,1
831,56,3
831,2,1
832,6,2
833,65,3
834,44,1
835,6,1
836,17,2
836,5,3
836,77,2
837,61,1
837,39,3
837,33,2
837,31,2
838,4,1
838,89,2
838,57,1
839,10,1
840,46,3
840,50,3
840,22,3
840,95,2
841,40,3
842,13,1
842,50,2
843,29,3
843,1,2
844,37,2
844,16,1
844,3,3
844,16,3
844,22,2
845,91,1
845,83,2
845,40,3
845,47,3
846,67,3
847,67,1
848,79,1
849,73,3
849,10,2
849,77,1
850,97,1
850,61,3
850,94,3
851,20,2
852,91,3
853,92,1
854,52,2
854,11,1
854,21,2
854,78,3
854,29,1
855,99,1
856,64,3
857,24,1
858,87,3
859,52,3
859,51,2
860,71,3
860,5,1
861,88,1
861,55,2
862,13,2
862,43,1
862,48,2
863,99,2
864,36,3
865,51,2
866,55,1
866,14,3
866,24,1
866,77,2
866,68,2
867,56,3
868,66,1
869,59,1
870,46,3
870,81,1
870,16,2
871,16,2
872,48,1
873,40,2
873,38,1
874,83,3
874,0,2
875,52,2
876,98,2
877,70,1
877,17,1
877,33,1
878,58,3
878,15,1
879,55,3
880,12,2
881,44,2
881,74,2
881,15,2
881,92,2
882,27,2
883,59,2
884,68,2
884,55,3
884,37,2
885,7,2
886,83,2
887,15,1
888,83,3
888,80,2
889,49,1
889,72,2
890,95,3
890,17,3
890,16,1
891,62,3
892,57,1
892,57,3
893,77,2
894,90,2
895,6,3
896,10,3
896,25,1
896,42,1
896,8,2
896,51,2
896,85,1
897,35,3
897,72,2
897,34,1
898,77,2
899,63,1
900,47,2
901,6,3
902,12,2
902,5,2
903,94,1
903,78,1
903,86,2
904,30,3
905,95,2
906,100,2
907,46,2
907,17,2
908,51,2
908,8,2
909,60,2
910,50,3
910,70,2
910,58,3
911,64,2
911,83,3
912,32,1
912,25,2
913,39,2
913,43,2
913,21,1
913,18,2
913,76,3
914,42,1
914,3,3
914,40,1
914,21,3
915,48,3
916,97,2
917,12,3
918,80,2
919,60,1
920,50,3
920,30,2
920,15,2
921,71,1
922,66,2
923,72,2
923,63,1
923,40,2
923,39,2
923,48,1
923,91,1
923,74,2
924,100,2
924,46,3
925,43,2
926,4,2
926,91,3
927,82,1
928,91,1
928,99,1
929,31,3
929,13,3
930,28,3
930,78,2
930,41,1
930,5,2
931,10,2
932,28,2
932,29,3
933,96,2
933,33,2
933,65,1
933,91,1
934,26,3
934,28,1
935,40,3
936,80,1
936,43,2
937,20,3
938,70,2
938,60,3
939,18,1
939,86,1
940,88,1
940,6,3
941,60,1
941,100,1
941,37,2
941,69,2
942,53,3
942,21,3
943,3,2
943,36,2
944,49,1
944,87,3
945,91,1
946,77,2
946,56,3
946,3,2
947,91,2
948,63,1
948,67,1
949,67,3
949,3,2
949,66,1
949,6,2
950,98,2
951,78,1
951,94,2
952,55,2
953,75,2
954,13,3
954,75,3
954,70,3
954,47,2
954,16,3
954,68,1
955,55,1
956,26,3
957,68,3
957,53,1
958,2,2
958,100,1
958,73,1
959,79,2
959,79,3
959,24,3
959,92,1
959,70,3
960,23,3
960,93,3
961,29,2
962,25,1
962,23,1
962,5,3
962,14,3
963,29,3
964,68,2
964,66,3
964,32,3
964,5,3
964,42,1
965,44,2
966,31,1
967,11,3
968,59,1
969,8,2
969,88,2
969,90,2
969,100,2
969,41,3
969,87,2
970,13,1
971,9,3
972,75,2
972,11,1
973,93,3
974,95,3
974,35,1
974,94,1
975,39,3
976,57,3
976,49,1
977,74,1
978,67,3
978,42,3
979,19,2
979,67,2
980,18,1
981,20,1
982,11,1
982,2,3
983,26,1
983,72,2
983,8,3
983,61,3
983,39,2
984,1,2
984,87,1
984,71,3
984,83,3
984,97,1
984,48,1
984,21,1
984,16,3
985,6,1
985,15,1
985,78,3
986,78,3
987,81,3
988,29,2
989,51,3
989,50,2
990,21,3
990,55,1
991,21,2
992,48,1
992,20,3
992,41,2
992,94,3
992,87,3
992,98,3
993,88,3
994,95,3
994,36,1
995,37,1
996,33,3
996,53,3
996,32,3
997,98,1
998,0,2
998,1,3
998,25,3
998,10,1
999,7,3
1000,21,1
1001,85,2
1002,50,1
1002,83,2
1003,82,1
1004,38,1
1005,70,3
1005,40,3
1006,4,1
1006,87,2
1007,12,2
1007,43,2
1008,51,2
1009,41,1
1009,85,3
1010,79,3
1010,72,3
1011,68,1
1011,84,2
1012,93,1
1013,8,2
1014,35,1
1015,4,3
1016,32,2
1017,82,3
1017,39,2
1017,58,1
1018,68,1
1018,36,3
1018,58,1
1018,83,1
1019,88,2
1019,25,3
1020,31,2
1020,75,2
1020,11,1
1020,11,3
1021,32,2
1021,22,1
1021,71,2
1022,93,2
1023,91,3
1024,66,2
1024,23,1
1025,86,3
1026,51,2
1027,100,2
1027,36,2
1027,72,1
1027,37,3
1027,4,2
1028,63,1
1028,37,2
1029,57,1
1030,78,2
1030,25,1
1031,40,1
1031,30,3
1031,7,3
1032,9,3
1032,45,1
1033,43,1
1033,13,1
1033,95,2
1034,86,3
1035,99,2
1036,89,2
1037,71,2
1037,36,2
1037,37,3
1037,14,2
1038,59,3
1039,21,2
1040,21,1
1040,46,2
1040,6,1
1041,81,2
1041,54,1
1042,100,2
1043,36,2
1043,93,1
1043,44,3
1043,99,2
1044,0,2
1045,49,2
1046,32,3
1047,61,3
1048,8,3
1049,95,1
1050,97,1
1051,64,3
1052,45,3
1053,73,2
1053,58,2
1053,4,2
1053,87,1
1053,1,3
1054,52,2
1055,80,2
1055,48,2
1055,5,2
1056,34,2
1056,14,3
1056,87,2
1056,94,2
1057,2,2
1057,40,1
1057,27,1
1057,74,2
1057,42,1
1057,27,2
1058,61,3
1058,6,2
1059,16,3
1060,31,1
1060,71,1
1061,29,3
1061,75,3
1061,86,3
1061,28,3
1062,26,1
1062,49,2
1063,100,2
1064,97,2
1064,31,3
1064,85,2
1065,28,2
1066,57,3
1066,60,2
1066,28,3
1067,31,2
1068,18,2
1069,35,1
1069,44,1
1070,38,3
1070,62,2
1070,61,2
1070,81,3
1070,10,2
1070,77,3
1071,13,2
1072,6,2
1072,68,2
1073,88,2
1074,27,2
1074,70,1
1075,15,1
1075,53,1
1075,46,1
1076,4,2
1077,77,1
1078,86,2
1079,94,2
1080,67,1
1080,99,3
1080,14,3
1081,27,1
1081,87,2
1082,42,3
1083,55,3
1083,58,3
1083,45,2
1083,61,3
1084,9,1
1084,89,2
1085,3,3
1086,87,2
1087,72,3
1088,32,3
1089,100,2
1090,30,1
1091,0,1
1091,99,2
1091,35,1
1092,23,2
1092,76,1
1093,70,1
1094,10,3
1095,96,3
1096,71,1
1096,83,2
1096,47,3
1097,45,3
1097,46,3
1097,38,2
1097,7,1
1098,12,2
1098,87,2
1099,40,2
1099,69,3
1100,14,2
1100,100,2
1100,74,1
1100,18,1
1100,79,3
1100,70,3
1101,35,2
1101,18,1
1102,96,1
1102,91,3
1103,12,1
1104,76,2
1105,25,1
1106,2,3
1106,60,2
1107,91,2
1107,8,3
1108,62,2
1109,0,3
1110,5,2
1110,67,2
1110,9,1
1110,93,1
1111,31,2
1111,97,2
1111,27,3
1111,46,1
1112,95,1
1112,98,3
1112,88,1
1113,81,1
1114,23,2
1114,66,1
1115,50,2
1115,42,1
1116,35,1
1116,36,1
1117,68,3
1117,64,2
1117,66,3
1118,70,1
1118,63,3
1118,100,3
1118,89,2
